"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,1,2.712905
0,2,7.83021
0,3,13.10716
0,4,18.25368
0,5,23.23435
0,6,28.03255
0,7,32.63102
0,8,37.01669
0,9,41.18337
0,10,45.1312
0,11,46.15238
0,12,44.56405
0,13,42.62175
0,14,40.6276
0,15,38.62958
0,16,36.65697
0,17,34.73946
0,18,32.90197
0,19,31.16201
0,20,29.53005
0,21,28.01075
0,22,26.60459
0,23,25.30919
0,24,24.12015
0,25,23.03185
0,26,22.03797
0,27,21.13189
0,28,20.30689
0,29,19.55639
0,30,18.87406
0,31,18.25386
0,32,17.69013
0,33,17.17759
0,34,16.71139
0,35,16.28705
0,36,15.90047
0,37,15.54792
0,38,15.22598
0,39,14.93157
0,40,14.66191
0,41,14.41445
0,42,14.18696
0,43,13.97738
0,44,13.78389
0,45,13.60482
0,46,13.4387
0,47,13.28418
0,48,13.14007
0,49,13.00529
0,50,12.87891
0,51,12.76005
0,52,12.64795
0,53,12.54194
0,54,12.44141
0,55,12.34579
0,56,12.25462
0,57,12.16745
0,58,12.08387
0,59,12.00354
0,60,11.92616
0,61,11.85141
0,62,11.77905
0,63,11.70887
0,64,11.64065
0,65,11.57422
0,66,11.50942
0,67,11.44611
0,68,11.38416
0,69,11.32347
0,70,11.26392
0,71,11.20543
0,72,11.14791
0,73,11.09129
0,74,11.0355
0,75,10.98049
0,76,10.92618
0,77,10.87255
0,78,10.81953
0,79,10.7671
0,80,10.71522
0,81,10.66385
0,82,10.61296
0,83,10.56254
0,84,10.51256
0,85,10.463
0,86,10.41384
0,87,10.36505
0,88,10.31664
0,89,10.26857
0,90,10.22085
0,91,10.17346
0,92,10.12638
0,93,10.0796
0,94,10.03312
0,95,9.986937
0,96,9.941031
0,97,9.895391
0,98,9.850016
0,99,9.804909
0,100,9.760055
0,101,9.715448
0,102,9.671082
0,103,9.626958
0,104,9.583072
0,105,9.539418
0,106,9.495994
0,107,9.452796
0,108,9.409822
0,109,9.36707
0,110,9.324537
0,111,9.282222
0,112,9.240121
0,113,9.198233
0,114,9.156554
0,115,9.115084
0,116,9.073819
0,117,9.032759
0,118,8.991901
0,119,8.951244
0,120,8.910785
0,121,8.870521
0,122,8.830454
0,123,8.79058
0,124,8.750897
0,125,8.711406
0,126,8.672103
0,127,8.632988
0,128,8.59406
0,129,8.555319
0,130,8.516761
0,131,8.478386
0,132,8.440194
0,133,8.402183
0,134,8.364352
0,135,8.326699
0,136,8.289225
0,137,8.251927
0,138,8.214805
0,139,8.177857
0,140,8.141083
0,141,8.104482
0,142,8.068052
0,143,8.031793
0,144,7.995703
0,145,7.959783
0,146,7.924029
0,147,7.888443
0,148,7.853022
0,149,7.817767
0,150,7.782675
0,151,7.747747
0,152,7.712981
0,153,7.678376
0,154,7.643932
0,155,7.609648
0,156,7.575523
0,157,7.541556
0,158,7.507746
0,159,7.474092
0,160,7.440595
0,161,7.407252
0,162,7.374064
0,163,7.341029
0,164,7.308146
0,165,7.275415
0,166,7.242836
0,167,7.210407
0,168,7.178127
0,169,7.145997
0,170,7.114014
0,171,7.082179
0,172,7.05049
0,173,7.018947
0,174,6.987549
0,175,6.956296
0,176,6.925187
0,177,6.89422
0,178,6.863396
0,179,6.832714
0,180,6.802173
0,181,6.771772
0,182,6.741511
0,183,6.711389
0,184,6.681405
0,185,6.651558
0,186,6.621849
0,187,6.592275
0,188,6.562837
0,189,6.533533
0,190,6.504363
0,191,6.475327
0,192,6.446425
0,193,6.417656
0,194,6.389019
0,195,6.360512
0,196,6.332136
0,197,6.303889
0,198,6.275772
0,199,6.247783
0,200,6.219922
0,201,6.192187
0,202,6.164578
0,203,6.137095
0,204,6.109737
0,205,6.082505
0,206,6.055398
0,207,6.028416
0,208,6.001556
0,209,5.974819
0,210,5.948203
0,211,5.921709
0,212,5.895335
0,213,5.869081
0,214,5.842947
0,215,5.816932
0,216,5.791034
0,217,5.765254
0,218,5.739591
0,219,5.714046
0,220,5.688618
0,221,5.663305
0,222,5.638107
0,223,5.613024
0,224,5.588055
0,225,5.5632
0,226,5.538457
0,227,5.513828
0,228,5.48931
0,229,5.464904
0,230,5.440608
0,231,5.416423
0,232,5.392348
0,233,5.368382
0,234,5.344526
0,235,5.320778
0,236,5.297137
0,237,5.273604
0,238,5.250179
0,239,5.226859
0,240,5.203646
0,241,5.180538
0,242,5.157535
0,243,5.134636
0,244,5.111842
0,245,5.089151
0,246,5.066564
0,247,5.044078
0,248,5.021695
0,249,4.999413
0,250,4.977232
0,251,4.955153
0,252,4.933173
0,253,4.911293
0,254,4.889513
0,255,4.867831
0,256,4.846247
0,257,4.824761
0,258,4.803373
0,259,4.782082
0,260,4.760887
0,261,4.739788
0,262,4.718785
0,263,4.697877
0,264,4.677063
0,265,4.656344
0,266,4.635719
0,267,4.615188
0,268,4.594749
0,269,4.574402
0,270,4.554148
0,271,4.533986
0,272,4.513914
0,273,4.493933
0,274,4.474043
0,275,4.454243
0,276,4.434532
0,277,4.414911
0,278,4.395378
0,279,4.375934
0,280,4.356577
0,281,4.337308
0,282,4.318127
0,283,4.299032
0,284,4.280023
0,285,4.2611
0,286,4.242263
0,287,4.223511
0,288,4.204843
0,289,4.18626
0,290,4.167761
0,291,4.149345
0,292,4.131013
0,293,4.112763
0,294,4.094596
0,295,4.076511
0,296,4.058508
0,297,4.040586
0,298,4.022745
0,299,4.004984
0,300,3.987304
0,301,3.969704
0,302,3.952183
0,303,3.934741
0,304,3.917378
0,305,3.900093
0,306,3.882886
0,307,3.865757
0,308,3.848706
0,309,3.831731
0,310,3.814832
0,311,3.798011
0,312,3.781265
0,313,3.764594
0,314,3.747998
0,315,3.731478
0,316,3.715032
0,317,3.69866
0,318,3.682362
0,319,3.666138
0,320,3.649986
0,321,3.633908
0,322,3.617902
0,323,3.601968
0,324,3.586105
0,325,3.570314
0,326,3.554595
0,327,3.538946
0,328,3.523368
0,329,3.507859
0,330,3.492421
0,331,3.477052
0,332,3.461753
0,333,3.446522
0,334,3.43136
0,335,3.416266
0,336,3.40124
0,337,3.386282
0,338,3.371391
0,339,3.356567
0,340,3.34181
0,341,3.327118
0,342,3.312494
0,343,3.297935
0,344,3.283441
0,345,3.269013
0,346,3.254649
0,347,3.24035
0,348,3.226116
0,349,3.211946
0,350,3.197839
0,351,3.183795
0,352,3.169815
0,353,3.155898
0,354,3.142043
0,355,3.128251
0,356,3.11452
0,357,3.100851
